judul,penyanyi,tahun_rilis,label,genre,lirik,link
Penolong Yang Setia,Melitha Sidabutar,2020,Impact Music,Pop Kontemporer,"Saat kuberjalan Kasih-Mu menerangi langkahku Tak kutakut, Tak kubimbang Kar'na ku tahu Kau bersamaku Reff:Kau lebih tahu  yang terbaik bagiku Kau lebih sanggup pulihkan hidupku Kuberserah, kupercaya Hanya Yesus penolong yang setia", https://www.youtube.com/watch?v=vK3WkdeuCZY&ab_channel=ImpactMusicIndonesia
Tuhan Allah Beserta Engkau - Pop Rohani KK 578,"IGNITE GKI, GKI Pengampon",2024,Ignite GKI,Pop Kontemporer,"Sampai bertemu, bertemu, sampai lagi kita bertemu;sampai bertemu, bertemu, Tuhan Allah beserta engkau! VERSE 1: Tuhan Allah beserta engkau sampai bertemu kembali;kasih Kristus mengawali, Tuhan Allah beserta engkau! VERSE 2:Tuhan Allah beserta engkau, sayapNya pernaungan-mu,sabda Kristus santapanmu, Tuhan Allah beserta engkau! BRIDGE: Dalam tiap kesesakan, kau selalu dikuatkan,air matamu dihapuskan, diubah jadi tarian. Lewat lembah kekelaman, kau tak pernah sendirian,Tuhan Allah besertamu, sampai nanti kita bertemu. Tuhan Allah beserta… engkau!",https://www.youtube.com/watch?v=zbmTRvkOqZE&ab_channel=IGNITEGKI
Segala Perkara,Putri Siagian,2021,Sion Production,Pop Kontemporer,"Segala perkara dapat kutanggung Di dalam Dia yang memberi kekuatan Tuhan Yesus penolong dan sahabat Tetap percaya Tuhan setia Penolong yang selalu setia Memenuhi keperluanku Tak pernah Dia mengecewakan Yesusku tak pernah gagal. Segala perkara dapat kutanggung Di dalam Dia yang memberi kekuatan Tuhan Yesus penolong dan sahabat Tetap percaya Tuhan setia Segala perkaraku dapat ditanggung Di dalam Yesus, Percayalah..Segala perkara dapat kutanggung Di dalam Dia yang memberi kekuatan Tuhan Yesus penolong dan sahabat Tetap percaya Tuhan setia Tetap percaya Tuhan setia Tetap percaya Tuhan setia..", https://www.youtube.com/watch?v=xDA8Fm27w9Q&ab_channel=SionProduction
Bahasa Cinta,Trio Narwastu,2005,Pelita Utama,Pop Kontemporer,"Ajarilah kami Bahasa cintamu Agar kami dekat padamu Andaikan aku lakukan yang luhur mulia Jika tanpa kasih cinta hampa tak berguna Ajarilah kami bahasa cinta-Mu Agar kami dekat padaMu ya Tuhanku Ajarilah kami bahasa cinta-Mu Agar kami dekat pada-Mu Andaikan aku pahami bahasa semua Hanyalah bahasa cinta kunci tiap hati Ajarilah kami bahasa cinta-Mu Agar kami dekat pada-Mu ya Tuhanku Ajarilah kami bahasa cinta-Mu Agar kami dekat pada-Mu Cinta itu lemah lembut sabar sederhana Cinta itu murah hati rela menderita Ajarilah kami bahasa cinta-Mu", https://www.youtube.com/watch?v=i7_Q7L3b_ow&ab_channel=PelitaUtama
Roh-Mu yang Hidup - Live,JPCC Worship,2017,Insight Unlimited Publishing,Penyembahan,"Verse 1: Roh-Mu yang hidup penuhiku Mengalir dalamku Jiwaku tenang bersama-Mu Dalam naungan-Mu. Chorus: Kubuka hati 'tuk jamahan-Mu Berserah penuh di hadirat-Mu ‘Kau ambil alih s'luruh hidupku Di altar-Mu menyembah-Mu Verse 2: Roh-Mu yang kudus pulihkanku Engkaulah damaiku Kuhidup oleh anug'rah-Mu Yang menyertaiku.  Verse 3: Roh-Mu yang hidup penuhiku Datang urapiku Kusiap t'rima kuasa-Mu Hidupku bagi-Mu", https://www.youtube.com/watch?v=MwN82mxCwc8&ab_channel=JPCCWorship
Terlalu Besar,"Mike Mohede, Veren",2013,Impact Music,Pop Kontemporer,Telah kulihat bukti kasihMu Kau menderita gantikanku Dengan darahMu Kau s'lamatkanku Kini ku hidup menyenangkanMu Terlalu besar kasihMu Bapa Pengorbanan yang Kau b'rikan bagiku Terlalu mahal darahMu Yesus Tercurah untuk menebus hidupku Hidup yang Kau b'rikanku bagiku S'lamatkan dan pulihkanku Lebih dari segalanya,https://www.youtube.com/watch?v=BdFrf6ZS86o&ab_channel=ImpactMusicIndonesia
Ya Namamu Maria,Merry Gasperz,2005,Pelita Utama,Pop,Ya namamu Maria bunda yang kucinta Merdu menawan hati segala anakmu Patutlah nama itu hidup di batinku Dan nanti kuucapkan di saat ajalku Ya nama yang keramat perisai hidupku Dengan nama Maria aku pasti menang Patutlah nama itu hidup di batinku Dan nanti kuucapkan di saat ajalku Bila hatiku risau dan dirundung duka Kuingat nama Ibu yang pasti menghibur Patutlah nama itu hidup di batinku Dan nanti kuucapkan disaat ajalku Dan nanti kuucapkan disaat ajalku, https://www.youtube.com/watch?v=bmG2fMKGtzA&ab_channel=PelitaUtama
Yesus Yang Kupercaya,Melitha Sidabutar,2021,Impact Music,Pop,Kasih-Mu membuatku mengerti Kuberharga dimata-Mu Tuhan Dan tangan-Mu yang menuntun hidupku Dalam semua rencana-Mu Tuhan Sungguh indah kasih-Mu Sungguh besar kuasa-Mu Yesus Tuhan penyelamatku Kau tak pernah berubah Tuk menggenapi janji-Mu Itu yang kupercaya, https://www.youtube.com/watch?v=EAAflABbxRI&ab_channel=ImpactMusicIndonesia
Sejuta Rasa,Army Of God Worship,2024,Media Rajawali Indonesia,Pujian dan Penyembahan,Kau mengenal hatiku hampa batinku tanpa hadir-Mu. Bawa daku mengalir berlabuh dalam hangatnya kasih-Mu. Sejuta rasa di jiwa rindukan peluk-MuBapa. Izinkanku 'tuk menyembah dengan apa yang kupunya. Tiada yang lebih berharga hanya pribadi-Mu Bapa. Biarkanlah kumenyembah hatiku milik-Mu seutuhnya.,https://www.youtube.com/watch?v=qbcgzT2pwtE&ab_channel=GMSLive
Tak Ku Tahu Kan Hari Esok,Phaet Selanno,2023,PKreative,Tradisional,"Tak ‘ku tahu ‘kan hari esok, namun langkahku tegap Bukan surya kuharapkan, kar’na surya ‘kan lenyap. O tiada ‘ku gelisah, akan masa menjelang; ‘ku berjalan serta Yesus. Maka hatiku tenang. Refrein: Banyak hal tak kufahami dalam masa menjelang. Tapi t’rang bagiku ini: Tangan Tuhan yang pegang. Tak ‘ku tahu ‘kan hari esok, mungkin langit ‘kan gelap.Tapi Dia yang berkasihan, melindungi ‘ku tetap. Meski susah perjalanan, g’lombang dunia menderu, dipimpinNya ‘ku bertahan sampai akhir langkahku.", https://www.youtube.com/watch?v=45hUnM2gHi0&ab_channel=PKREATIVE
